persona                v1   v2   v3   v4   v5
worried-small          57   78   88   53   82
portfolio-investor     85   92   88   82   93
accidental             48   77   68   45   58
diy-cost-conscious     75   93   90   87   92
letting-agent          87   88   90   75   82
hmo-operator           80   87   85   83   88
old-school             67   93   90   73   92
green-curious          87   87   92   87   83
